Benchmark,Mode,Cnt,Score,Units
Counter.increment,thrpt,3,1728.904,ops/s
CounterLock.inc,thrpt,3,2527.789,ops/s
CounterReentrantLock.increment,thrpt,3,2475.183,ops/s
NonblockingCounter.increment,thrpt,3,2570.333,ops/s
